"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"bac16SV4_L100_Nextseq_07850"	"day"	"day"	-0.0849115742180723	0.00573376382816174	0.0360571018845594	"abundance"
"bac16SV4_L100_Nextseq_09464"	"day"	"day"	-0.0650697503468478	0.00592763525812527	0.0370917374567839	"abundance"
"bac16SV4_L100_Nextseq_06745"	"day"	"day"	-0.0853880358526422	0.00611371295504197	0.0380676511092269	"abundance"
"bac16SV4_L100_Nextseq_08533"	"day"	"day"	-0.0627429724033131	0.00626340960523989	0.0387793536860685	"abundance"
"bac16SV4_L100_Nextseq_09044"	"day"	"day"	-0.0320265598138022	0.00628937302661712	0.0387793536860685	"abundance"
"bac16SV4_L100_Nextseq_12720"	"day"	"day"	-0.04300186299397	0.00676347432641373	0.0415001531484804	"abundance"
"bac16SV4_L100_Nextseq_00127"	"day"	"day"	0.123001850467607	0.00682277943318621	0.0416618029156878	"abundance"
"bac16SV4_L100_Nextseq_00128"	"read_depth"	"read_depth"	0.0709059590184994	0.00700443806023064	0.0425654312890939	"abundance"
"bac16SV4_L100_Nextseq_05507"	"day"	"day"	-0.0911762189706295	0.00749330855832082	0.0453091752557544	"abundance"
"bac16SV4_L100_Nextseq_08775"	"read_depth"	"read_depth"	0.00411464508920545	0.00752763196495919	0.0453091752557544	"abundance"
"bac16SV4_L100_Nextseq_00071"	"day"	"day"	0.144075172741911	0.00782460906405624	0.0468734874737777	"abundance"
